Curso,Disciplina,Natureza,Tipo de Bibliografia,Correspondência,Livro no PPC,Livro no campus,Autor,Edição,Volume,Exemplares,Título comparado,valor_livro_novo,site_preco,observacao
Física Computacional,Física IV,Obrigatória,Básica,Não,"HALLIDAY, D.; RESNICK, R.; WALKER, J. Fundamentos de Física – Óptica e Física Moderna. v.4. 10. ed. LTC, 2016.",,,,,0,Fundamentos de Física – Óptica e Física Moderna,"R$ 240,00",https://blooks.com.br/product/fundamentos-da-fisica-optica-e-fisica-moderna-99910/99910,Preço de exemplar físico novo no varejo brasileiro.
Física Computacional,Física IV,Obrigatória,Básica,Não,"SERWAY, R. A.; JEWETT JR, J. W. Física para Cientistas e Engenheiros – Luz, óptica e física moderna. v. 4. 2. ed. Cengage, 2019.",,,,,0,"Física para Cientistas e Engenheiros – Luz, óptica e física moderna","R$ 245,60",https://www.livrariadafisica.com.br/detalhe_produto.aspx?id=147015,Preço promocional de exemplar físico novo exibido pela Livraria da Física.
Física Computacional,Física IV,Obrigatória,Básica,Não,"YOUNG, H. D.; FREEDMAN, R. A. Física IV: Óptica e Física Moderna. 14. ed. Editora Person, 2016.",,,,,0,Física IV: Óptica e Física Moderna,"R$ 222,70",https://www.estantevirtual.com.br/livro/fisica-4-otica-e-fisica-moderna-SH1-3562-000-BK?condition=novo,Preço de exemplar físico novo encontrado na Estante Virtual.
Física Computacional,Física Experimental IV,Obrigatória,Básica,Não,"HALLIDAY, D.; RESNICK, R.; WALKER, J. Fundamentos de Física – Óptica e Física Moderna. v.4. 10. ed. LTC, 2016.",,,,,0,Fundamentos de Física – Óptica e Física Moderna,"R$ 240,00",https://blooks.com.br/product/fundamentos-da-fisica-optica-e-fisica-moderna-99910/99910,Preço de exemplar físico novo no varejo brasileiro.
Física Computacional,Física Experimental IV,Obrigatória,Básica,Não,"SERWAY, R. A.; JEWETT JR, J. W. Física para Cientistas e Engenheiros – Luz, óptica e física moderna. v. 4. 2. ed. Cengage, 2019.",,,,,0,"Física para Cientistas e Engenheiros – Luz, óptica e física moderna","R$ 245,60",https://www.livrariadafisica.com.br/detalhe_produto.aspx?id=147015,Preço promocional de exemplar físico novo exibido pela Livraria da Física.
Física Computacional,Física Experimental IV,Obrigatória,Básica,Não,"YOUNG, H. D.; FREEDMAN, R. A. Física IV: Óptica e Física Moderna. 14. ed. Editora Person, 2016.",,,,,0,Física IV: Óptica e Física Moderna,"R$ 222,70",https://www.estantevirtual.com.br/livro/fisica-4-otica-e-fisica-moderna-SH1-3562-000-BK?condition=novo,Preço de exemplar físico novo encontrado na Estante Virtual.
Física Computacional,Dinâmica Molecular e Aprendizado de Máquina em Física de,Obrigatória,Básica,Não,"ALLEN, Michael P.; TILDESLEY, Dominic J. Computer Simulation of Liquids. 2. ed. Oxford University Press, 2017.",,,,,0,Computer Simulation of Liquids,US$ 92.89,https://www.discountmags.com/products/computer-simulation-of-liquids-paperback,Preço de livro físico novo em loja estrangeira.
Física Computacional,Dinâmica Molecular e Aprendizado de Máquina em Física de,Obrigatória,Básica,Não,"FRENKEL, Daan; SMIT, Berend. Understanding Molecular Simulation: From Algorithms to Applications. 3. ed. Academic Press, 2023.",,,,,0,Understanding Molecular Simulation: From Algorithms to Applications,US$ 67.77,https://www.walmart.com/ip/1814544119,Preço de livro físico novo em loja estrangeira.
Física Computacional,Dinâmica Molecular e Aprendizado de Máquina em Física de,Obrigatória,Básica,Não,"RINO, José, P.; COSTA, Bismarck, V. ABC da Simulação Computacional. 1 ed. Editora Livraria da Física, 2013.",,,,,0,ABC da Simulação Computacional,"R$ 46,20",https://www.livrariadafisica.com.br/detalhe_produto.aspx?id=142487,Preço promocional de exemplar físico novo exibido pela Livraria da Física.
Física Computacional,Engenharia de Dados,Obrigatória,Básica,Não,"BORDIN, M. V. et al. Processamento Paralelo e Distribuído. Porto Alegre : SAGAH, 2021.",,,,,0,"BORDIN, M. V. et al. Processamento Paralelo e Distribuído. Porto Alegre : SAGAH, 2021.",Não encontrado,https://loja.grupoa.com.br/eb-ead-processamento-paralelo-e-distribuido9786556901084-p1018524,Localizei apenas oferta de ebook; não usei por não ser livro físico novo.
Física Computacional,Engenharia de Dados,Obrigatória,Básica,Não,"PEREIRA, Mariana, A. et al. Framework de Big Data. Porto Alegre : SAGAH, 2019.",,,,,0,"PEREIRA, Mariana, A. et al. Framework de Big Data. Porto Alegre : SAGAH, 2019.",Não encontrado,https://loja.grupoa.com.br/eb-ead-framework-de-big-data9786556900803-p1020005,Localizei apenas oferta de ebook; não usei por não ser livro físico novo.
Física Computacional,Engenharia de Dados,Obrigatória,Básica,Não,"SILVA, L. F. C. et al. Banco de Dados Não Relacional. Porto Alegre: SAGAH, 2021.",,,,,0,"SILVA, L. F. C. et al. Banco de Dados Não Relacional. Porto Alegre: SAGAH, 2021.",Não encontrado,https://loja.grupoa.com.br/eb-eadbanco-de-dados-nao-relacional9786556901534-p1018703,Localizei apenas oferta de ebook; não usei por não ser livro físico novo.
Física Computacional,Biofísica Molecular Computacional,Obrigatória,Básica,Não,"ALBERTS, B. et al. Biologia Molecular da Célula. 6a edição. Porto Alegre: Artmed, 2017.",,,,,0,"ALBERTS, B. et al. Biologia Molecular da Célula. 6a edição. Porto Alegre: Artmed, 2017.","R$ 537,22",https://www.estantevirtual.com.br/livro/biologia-molecular-da-celula-07R-6186-000-BK?condition=novo&page=1,Preço de exemplar físico novo encontrado na Estante Virtual.
Física Computacional,Biofísica Molecular Computacional,Obrigatória,Básica,Não,"MARIANO, D. et al. Introdução à Programação para Bioinformática com Biopython. 3ª ed. Belo Horizonte: Clube de Autores, 2016.",,,,,0,"MARIANO, D. et al. Introdução à Programação para Bioinformática com Biopython. 3ª ed. Belo Horizonte: Clube de Autores, 2016.","R$ 53,07",https://clubedeautores.com.br/livro/introducao-a-programacao-para-bioinformatica-com-biopython,Preço da versão impressa no Clube de Autores.
Física Computacional,Biofísica Molecular Computacional,Obrigatória,Básica,Não,"OLIVEIRA, A. M. Introdução à Modelagem Molecular para Química, Engenharia e Biomédicas: Fundamentos e Exercícios. Curitiba: Appris, 2018.",,,,,0,"Introdução à Modelagem Molecular para Química, Engenharia e Biomédicas: Fundamentos e Exercícios","R$ 76,00",https://www.livrariamaori.com.br/product-page/introdu%C3%A7%C3%A3o-%C3%A0-modelagem-molecular-para-qu%C3%ADmica-engenharia-e-biom%C3%A9dicas-funda,Preço de exemplar físico novo sob encomenda.
Física Computacional,Biofísica Molecular Computacional,Obrigatória,Básica,Não,"VERLI, H. (Org.). Bioinformática: da Biologia à Flexibilidade Molecular. 1ª edição. SBBq, 2014. Disponível em: http://hdl.handle.net/10183/166105.",,,,,0,(Org.),Não encontrado,https://lume.ufrgs.br/handle/10183/166105,A referência disponível é de acesso aberto; não localizei oferta de livro físico novo.
Física Computacional,Simulação Computacional de Primeiros Princípios,Obrigatória,Básica,Não,"COHEN, M. L., LOUIE, S. G., Fundamentals of Condensed Matter Physics, 1. Ed. Cambridge University Press, 2016.",,,,,0,"G., Fundamentals of Condensed Matter Physics, 1",US$ 95.00,https://mitpressbookstore.mit.edu/book/9780521513319,Preço de livro físico novo em loja estrangeira.
Física Computacional,Simulação Computacional de Primeiros Princípios,Obrigatória,Básica,Não,"LAZARO, S. R., RIBEIRO, R. A. P., LACERDA, L. H. S, Teoria do Funcional da Densidade e Propriedades dos Materiais, 1. Ed. CRV, 2020.",,,,,0,"S, Teoria do Funcional da Densidade e Propriedades dos Materiais, 1","R$ 44,06",https://loja.editoracrv.com.br/produtos/teoria-do-funcional-da-densidade-e-propriedades-dos-materiais,Preço de livro físico novo no site da editora; metadata da página pode divergir do ano citado no CSV.
Física Computacional,Simulação Computacional de Primeiros Princípios,Obrigatória,Básica,Não,"VIANNA, J. D. M., CANUTO, S., FAZZIO, A., Teoria quântica de moléculas e sólidos: simulação computacional, Editora Livraria da Física, 1. Ed. 2023.",,,,,0,"M., CANUTO, S., FAZZIO, A., Teoria quântica de moléculas e sólidos: simulação computacional, Editora Livraria da Física, 1","R$ 92,40",https://www.livrariadafisica.com.br/detalhe_produto.aspx?id=23850,Preço promocional de exemplar físico novo na Livraria da Física; a página localizada usa cadastro bibliográfico antigo.
